,CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHAELAB,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
387,F29803,1159.0,E,3.0,2019-10-04 14:25:02.000,2019-10-04,2019-10-03 00:00:00,2019-11-03,,2430.0,0.0,0
388,F29804,1159.0,E,3.0,2019-10-04 14:29:15.000,2019-10-04,2019-10-04 00:00:00,2019-11-03,,675.0,0.0,0
409,F29825,941.0,E,5.0,2019-10-08 10:19:30.000,2019-10-08,2019-10-08 00:00:00,2019-11-07,,11100.0,0.0,0
411,F29827,1852.0,C,2.0,2019-10-08 11:29:07.000,2019-10-08,2019-10-08 00:00:00,2019-10-23,2019-10-08,659.8,0.0,0
417,F29833,1852.0,E,2.0,2019-10-08 16:36:30.000,2019-10-08,2019-10-08 00:00:00,2019-10-23,,659.7987,0.0,0
434,F29850,1852.0,E,3.0,2019-10-09 17:49:27.000,2019-10-09,2019-10-09 00:00:00,2019-10-24,,7125.9000000000015,0.0,0
436,F29852,960.0,E,2.0,2019-10-10 08:41:54.000,2019-10-10,2019-10-03 00:00:00,2019-10-25,,1124.59,0.0,0
438,F29854,251.0,E,6.0,2019-10-10 09:19:18.000,2019-10-10,2019-10-04 00:00:00,2019-11-09,,2465.0,0.0,0
448,F29864,664.0,C,2.0,2019-10-10 14:17:24.000,2019-10-10,2019-10-10 00:00:00,2019-10-25,2019-10-10,4232.25,0.0,0
449,F29865,664.0,E,2.0,2019-10-10 14:20:37.000,2019-10-10,2019-10-10 00:00:00,2019-10-25,,4232.25,0.0,0
450,F29866,664.0,E,2.0,2019-10-10 14:28:55.000,2019-10-10,2019-10-10 00:00:00,2019-10-25,,10463.01,0.0,0
451,F29867,125.0,E,2.0,2019-10-10 15:17:18.000,2019-10-10,2019-10-10 00:00:00,2019-10-10,,172.36200000000002,0.0,0
453,F29869,644.0,E,1.0,2019-10-10 16:38:30.000,2019-10-10,2019-10-04 00:00:00,2019-12-09,,71346.0,0.0,0
458,F29874,417.0,C,2.0,2019-10-11 09:19:12.000,2019-10-11,2019-10-11 00:00:00,2019-10-26,2019-10-11,6221.800000000001,0.0,0
461,F29877,417.0,E,2.0,2019-10-11 11:14:57.000,2019-10-11,2019-10-11 00:00:00,2019-10-26,,6221.800000000001,0.0,0
470,F29886,361.0,E,2.0,2019-10-11 15:26:48.000,2019-10-11,2019-10-08 00:00:00,2019-10-11,,1076.97051,0.0,0
471,F29887,361.0,E,2.0,2019-10-11 15:28:27.000,2019-10-11,2019-10-11 00:00:00,2019-10-11,,1076.97051,0.0,0
490,F29906,1686.0,C,2.0,2019-10-15 10:47:54.000,2019-10-15,2019-10-08 00:00:00,2019-10-15,2019-10-15,315.0,0.0,0
495,F29911,161.0,E,4.0,2019-10-15 16:21:57.000,2019-10-15,2019-10-09 00:00:00,2019-11-14,,1230.0,0.0,0
496,F29912,1686.0,E,2.0,2019-10-15 16:42:23.000,2019-10-15,2019-10-08 00:00:00,2019-10-15,,315.0,0.0,0
499,F29915,181.0,E,2.0,2019-10-16 12:17:26.000,2019-10-16,2019-10-07 00:00:00,2019-10-16,,1166.7,0.0,0
500,F29916,181.0,E,2.0,2019-10-16 12:18:48.000,2019-10-16,2019-10-16 00:00:00,2019-10-16,,1166.7,0.0,0
503,F29919,253.0,E,3.0,2019-10-16 14:29:28.000,2019-10-16,2019-10-17 00:00:00,2019-11-30,,3383.0000000000005,0.0,0
518,F29934,1583.0,E,3.0,2019-10-17 11:40:35.000,2019-10-17,2019-10-09 00:00:00,2019-11-01,,5151.6,0.0,0
522,F29938,1757.0,E,2.0,2019-10-17 12:26:22.000,2019-10-17,2019-10-02 00:00:00,2019-10-17,,1300.0,0.0,0
523,F29939,1757.0,E,2.0,2019-10-17 12:28:09.000,2019-10-17,2019-10-02 00:00:00,2019-10-17,,1170.6000000000001,0.0,0
528,F29944,1429.0,E,4.0,2019-10-17 16:47:46.000,2019-10-17,2019-10-17 00:00:00,2019-11-16,,8080.0,0.0,0
531,F29947,728.0,E,1.0,2019-10-17 17:20:56.000,2019-10-17,2019-10-17 00:00:00,2019-12-16,,155913.0,23386.950000000008,0
532,F29948,871.0,E,1.0,2019-10-18 08:38:36.000,2019-10-18,2019-10-14 00:00:00,2019-11-02,,4384.0,0.0,0
535,F29951,251.0,E,3.0,2019-10-18 08:50:12.000,2019-10-18,2019-10-09 00:00:00,2019-11-17,,3000.0000000000005,0.0,0
536,F29952,251.0,E,6.0,2019-10-18 09:01:30.000,2019-10-18,2019-10-18 00:00:00,2019-11-17,,13750.000000000002,0.0,0
539,F29955,466.0,E,1.0,2019-10-18 10:23:12.000,2019-10-18,2019-10-02 00:00:00,2019-12-17,,2577.1,0.0,0
549,F29965,644.0,E,1.0,2019-10-21 09:33:20.000,2019-10-21,2019-10-21 00:00:00,2019-12-20,,720.0,0.0,0
556,F29972,941.0,E,4.0,2019-10-21 16:58:49.000,2019-10-21,2019-10-21 00:00:00,2019-11-20,,2082.0,0.0,0
567,F29983,466.0,E,1.0,2019-10-22 14:30:24.000,2019-10-22,2019-10-22 00:00:00,2019-12-21,,1050.0,0.0,0
572,F29988,1158.0,E,2.0,2019-10-23 09:32:59.000,2019-10-23,2019-10-23 00:00:00,2019-10-23,,4198.4069,0.0,0
574,F29990,473.0,E,2.0,2019-10-23 10:12:46.000,2019-10-23,2019-10-23 00:00:00,2019-10-23,,700.95,0.0,0
576,F29992,1125.0,E,3.0,2019-10-23 10:30:16.000,2019-10-23,2019-10-16 00:00:00,2019-11-07,,2697.0,0.0,0
578,F29994,1019.0,E,2.0,2019-10-23 11:23:06.000,2019-10-23,2019-10-15 00:00:00,2019-11-07,,8031.68,0.0,0
581,F29997,466.0,E,1.0,2019-10-23 12:34:49.000,2019-10-23,2019-10-24 00:00:00,2019-12-22,,1937.6000000000001,0.0,0
594,F30010,693.0,E,2.0,2019-10-23 17:12:02.000,2019-10-23,2019-10-23 00:00:00,2019-10-23,,2439.0,0.0,0
606,F30022,1586.0,E,2.0,2019-10-24 12:35:09.000,2019-10-24,2019-10-24 00:00:00,2019-10-24,,339.20000000000005,0.0,0
639,F30055,466.0,E,1.0,2019-10-29 07:39:40.000,2019-10-29,2019-10-30 00:00:00,2019-12-28,,3213.0,0.0,0
640,F30056,728.0,E,1.0,2019-10-29 07:56:40.000,2019-10-29,2019-10-25 00:00:00,2019-12-28,,14520.0,0.0,0
643,F30059,1334.0,E,2.0,2019-10-29 09:57:19.000,2019-10-29,2019-10-23 00:00:00,2019-10-29,,819.0,0.0,0
663,F30079,1284.0,E,2.0,2019-10-30 10:30:53.000,2019-10-30,2019-10-30 00:00:00,2019-11-29,,2270.0,0.0,0
671,F30087,1757.0,E,2.0,2019-10-30 16:31:04.000,2019-10-30,2019-10-30 00:00:00,2019-10-30,,3448.2758000000003,0.0,0
676,F30092,1459.0,E,2.0,2019-10-31 09:09:32.000,2019-10-31,2019-10-23 00:00:00,2019-11-30,,9865.6,0.0,0
678,F30094,1248.0,E,2.0,2019-10-31 09:57:46.000,2019-10-31,2019-10-31 00:00:00,2019-11-15,,997.5000000000001,0.0,0
681,F30097,571.0,E,,2019-10-31 11:12:54.000,2019-10-31,2019-10-31 00:00:00,2019-10-31,,11338.413700000001,0.0,0
704,F30120,908.0,E,3.0,2019-11-04 10:09:41.000,2019-11-04,2019-10-31 00:00:00,2019-11-19,,2275.0,0.0,0
708,F30124,1965.0,E,2.0,2019-11-04 10:27:52.000,2019-11-04,2019-11-04 00:00:00,2019-11-19,,400.00000000000006,60.000000000000014,0
750,F30166,1478.0,E,1.0,2019-11-06 10:46:16.000,2019-11-06,2019-11-04 00:00:00,2019-12-06,,2964.0000000000005,0.0,0
753,F30169,1130.0,E,2.0,2019-11-06 12:03:49.000,2019-11-06,2019-10-23 00:00:00,2019-11-14,,745.69,0.0,0
769,F30185,607.0,E,2.0,2019-11-07 12:36:44.000,2019-11-07,2019-11-07 00:00:00,2019-11-07,,926.01,0.0,0
792,F30208,1668.0,E,2.0,2019-11-11 13:13:51.000,2019-11-11,2019-11-07 00:00:00,2019-11-11,,9100.08,0.0,0
793,F30209,1284.0,E,2.0,2019-11-11 13:49:26.000,2019-11-11,2019-11-11 00:00:00,2019-12-11,,1972.5000000000002,0.0,0
803,F30219,1965.0,E,2.0,2019-11-11 17:20:59.000,2019-11-11,2019-11-05 00:00:00,2019-11-26,,1452.2,217.83,0
807,F30223,161.0,E,4.0,2019-11-12 09:56:59.000,2019-11-12,2019-10-28 00:00:00,2019-12-12,,1230.0,0.0,0
835,F30251,941.0,E,3.0,2019-11-13 10:46:14.000,2019-11-13,2019-11-13 00:00:00,2019-12-13,,2910.0000000000005,0.0,0
838,F30254,484.0,E,2.0,2019-11-13 13:31:58.000,2019-11-13,2019-11-08 00:00:00,2019-11-28,,5255.25,0.0,0
843,F30259,251.0,E,3.0,2019-11-14 08:51:12.000,2019-11-14,2019-10-18 00:00:00,2019-12-14,,9560.0,0.0,0
845,F30261,1819.0,E,3.0,2019-11-14 09:06:04.000,2019-11-14,2019-10-22 00:00:00,2019-12-14,,2464.65,0.0,0
862,F30278,644.0,E,1.0,2019-11-15 08:14:32.000,2019-11-15,2019-11-08 00:00:00,2020-01-14,,10701.9,0.0,0
863,F30279,1339.0,E,1.0,2019-11-15 08:17:41.000,2019-11-15,2019-11-15 00:00:00,2019-12-15,,18240.0,0.0,0
864,F30280,322.0,E,1.0,2019-11-15 10:11:05.000,2019-11-15,2019-11-19 00:00:00,2019-11-30,,4635.0,0.0,0
875,F30291,1248.0,E,2.0,2019-11-19 08:46:08.000,2019-11-19,2019-11-19 00:00:00,2019-12-04,,1225.0,0.0,0
